Search,mmsi,Expert label,notes,Reviewer,nn_times_classified,nn_number_max_labels,nn_average_length,nn_stddev_length,nn_max_label,nn_max_score,nn_max_label_fishing,nn_max_fishing_score,nn_max_sublabel,nn_max_sub_score,nn_max_sublabel_fishing,nn_max_sub_fishing_score,nn_times_classified_all,nn_number_max_labels_all,nn_average_length_all,nn_stdev_length_all,nn_max_label_all,nn_max_score_all,nn_max_label_fishing_all,nn_max_fishing_score_all,nn_max_sublabel_all,nn_max_sub_score_all,nn_max_sublabel_fishing_all,nn_max_sub_fishing_score_all,positions,active_positions,active_hours,fishing_points,num_A,num_B,iso3,country_name,average_length,stddev_length,number_distinct_lengths,avg_width,number_valid_length_messages,shipname,num_shipnames,imo,num_imos,callsign,num_callsign,gap_hours,num_gaps,training_label,training_sublabel,training_length,training_listsources,spoofing_hours,num_overlapping_segs
https://www.google.com/search?q=mmsi+416200071,416200071,Drifting_longlines,not 100% that its correct,VL,1,1,53.10237503051758,,Trawlers,0.9991990923881531,Trawlers,0.9991990923881531,Trawlers,0.9993613362312317,Trawlers,0.9993613362312317,1,1,53.10237503051758,,Trawlers,0.9991990923881531,Trawlers,0.9991990923881531,Trawlers,0.9993613362312317,Trawlers,0.9993613362312317,5906,5904,5914.473194444452,3034,0,0,TWN,Taiwan,,,,,,LUCKY OCEAN NO.1,1,,,,2,3122.0861111111117,38,,,,,17487.80666666667,28
https://www.google.com/search?q=mmsi+520019000,520019000,Drifting_longlines,Tuna longliner,VL,1,1,39.3230094909668,,Trawlers,0.9975035786628723,Trawlers,0.9975035786628723,Trawlers,0.9985816478729248,Trawlers,0.9985816478729248,1,1,39.3230094909668,,Trawlers,0.9975035786628723,Trawlers,0.9975035786628723,Trawlers,0.9985816478729248,Trawlers,0.9985816478729248,3312,3310,2120.1776388888907,2149,0,0,FJI,Fiji,,,,,,WINFULL.NO2,1,,,3DVW,1,270.945,4,,,,,,
https://www.google.com/search?q=mmsi+440705000,440705000,Drifting_longlines,Tuna longliner,VL,3,1,44.732373555501304,3.4149468159935754,Trawlers,0.9967965483665466,Trawlers,0.9967965483665466,Trawlers,0.9973292946815491,Trawlers,0.9973292946815491,8,2,41.95528602600098,3.4518391077224595,Drifting_longlines,0.5244621336023556,Drifting_longlines,0.5244621336023556,Drifting_longlines,0.5224282888502785,Drifting_longlines,0.5224282888502785,3938,1335,20886.72513888889,0,1799,0,KOR,South Korea,55.0,0.0,1,8.0,2602,711 ORYONG,1,,,DTFS,1,32.23972222222222,1,,,,,2461.351388888889,152
https://www.google.com/search?q=mmsi+416168500,416168500,Drifting_longlines,Tuna longliner,VL,2,1,51.88690757751465,2.5487959346931435,Trawlers,0.9965342879295349,Trawlers,0.9965342879295349,Trawlers,0.997087836265564,Trawlers,0.997087836265564,2,1,51.88690757751465,2.5487959346931435,Trawlers,0.9965342879295349,Trawlers,0.9965342879295349,Trawlers,0.997087836265564,Trawlers,0.997087836265564,10866,10863,3832.672777777699,5978,0,0,TWN,Taiwan,60.0,0.0,1,30.0,5660,FU YUAN NO.1,2,,,,1,,,,,,,,
https://www.google.com/search?q=mmsi+412440032,412440032,Drifting_longlines,not 100% that its correct,VL,1,1,52.75868606567383,,Trawlers,0.9961684346199036,Trawlers,0.9961684346199036,Trawlers,0.9963043928146362,Trawlers,0.9963043928146362,1,1,52.75868606567383,,Trawlers,0.9961684346199036,Trawlers,0.9961684346199036,Trawlers,0.9963043928146362,Trawlers,0.9963043928146362,2983,2982,1266.1091666666675,1309,0,0,CHN,China,60.0,0.0,1,30.0,1584,FU YUAN YU 559,1,,,,1,6391.293333333334,15,,,,,,
https://www.google.com/search?q=mmsi+412691530,412691530,Drifting_longlines,Tuna longliner,VL,1,1,39.34665298461914,,Trawlers,0.9960222840309143,Trawlers,0.9960222840309143,Trawlers,0.9967631101608276,Trawlers,0.9967631101608276,1,1,39.34665298461914,,Trawlers,0.9960222840309143,Trawlers,0.9960222840309143,Trawlers,0.9967631101608276,Trawlers,0.9967631101608276,4767,4748,1893.4291666666663,2639,0,0,CHN,China,29.0,0.0,1,6.0,483,HU YU 912,1,,,BIWB,1,1053.1816666666666,10,,,,,,
https://www.google.com/search?q=mmsi+277330000,277330000,Trawlers," most of the sites, including Lithuanian ones, claim this vessel to be a trawler",VL,3,1,64.48388544718425,15.100077560447442,Trawlers,0.9952936371167501,Trawlers,0.9952936371167501,Trawlers,0.9946555693944296,Trawlers,0.9946555693944296,9,2,64.57959281073676,15.365655802315342,Trawlers,0.8650702412964569,Trawlers,0.8650702412964569,Trawlers,0.863050879082746,Trawlers,0.863050879082746,45143,35664,7699.537222222101,16472,28553,0,LTU,Lithuania,143.0,0.0,1,18.0,14678,MARGIRIS,2,8301187,1,LYRV,3,,,Trawlers,,137.78750000000002,clav_fishing;eu_fishing,2786.8605555555555,1
https://www.google.com/search?q=mmsi+412320026,412320026,unknown_fishing,confusing info. couple of vessels reported ,VL,2,1,40.429243087768555,6.396181453428536,Trawlers,0.9947435855865479,Trawlers,0.9947435855865479,Trawlers,0.9963463246822357,Trawlers,0.9963463246822357,2,1,40.429243087768555,6.396181453428536,Trawlers,0.9947435855865479,Trawlers,0.9947435855865479,Trawlers,0.9963463246822357,Trawlers,0.9963463246822357,11252,11145,65856.9808333333,3829,11026,0,CHN,China,30.0,0.0,1,8.0,48,ZHONGSHUI710,2,8628999,1,BZZR9,2,1455.5833333333333,4,,,,,132198.665,664
https://www.google.com/search?q=mmsi+440703000,440703000,Drifting_longlines,Tuna longliner,VL,3,1,46.295249938964844,4.407840669206343,Trawlers,0.9910484155019125,Trawlers,0.9910484155019125,Trawlers,0.9924499988555908,Trawlers,0.9924499988555908,9,2,42.894506242540146,4.1676426190255835,Drifting_longlines,0.6132293117496173,Drifting_longlines,0.6132293117496173,Drifting_longlines,0.6134222870003012,Drifting_longlines,0.6134222870003012,23237,17888,8036.043888888811,8126,17610,0,KOR,South Korea,50.0,0.0,1,7.0,1824,721ORYONG,2,8815700,1,DTAH8,1,118.20277777777778,4,,,,,,
https://www.google.com/search?q=mmsi+412326905,412326905,Drifting_longlines,,VL,2,1,38.36081504821777,3.171037170417307,Trawlers,0.990095466375351,Trawlers,0.990095466375351,Trawlers,0.9918714165687561,Trawlers,0.9918714165687561,2,1,38.36081504821777,3.171037170417307,Trawlers,0.990095466375351,Trawlers,0.990095466375351,Trawlers,0.9918714165687561,Trawlers,0.9918714165687561,11666,11317,5977.83041666664,5587,11561,0,CHN,China,,,,,,ZHONGSHUI 809,1,8629046,1,BZYJ6,1,33.19361111111111,1,,,,,95550.87000000001,60
https://www.google.com/search?q=mmsi+440846000,440846000,Drifting_longlines,tuna longliner,VL,3,1,44.84573745727539,3.624975629743355,Trawlers,0.9892364541689554,Trawlers,0.9892364541689554,Trawlers,0.9907974799474081,Trawlers,0.9907974799474081,9,2,43.63706080118815,3.948060881993898,Trawlers,0.7874665535184451,Trawlers,0.7874665535184451,Trawlers,0.7877421190003386,Trawlers,0.7877421190003386,34901,32085,8115.379861110637,15854,32599,0,KOR,South Korea,53.0,0.0,1,8.0,3151,307ORYONG,1,8703892,1,HLBX,1,24.034444444444443,1,,,,,4223.350555555556,1
https://www.google.com/search?q=mmsi+412331028,412331028,longline - don't know if set or longline,"https://www.wcpfc.int/node/19043, not sure its the same",VL,1,1,57.2656135559082,,Trawlers,0.9877682328224182,Trawlers,0.9877682328224182,Trawlers,0.9861365556716919,Trawlers,0.9861365556716919,2,1,55.140024185180664,3.0060373161189786,Trawlers,0.9564990699291229,Trawlers,0.9564990699291229,Trawlers,0.9555301070213318,Trawlers,0.9555301070213318,3026,3026,1221.025555555555,1273,0,0,CHN,China,,,,,,LUQINGYUAN022,9,,,,1,5765.960555555556,17,,,,,,
https://www.google.com/search?q=mmsi+416004411,416004411,Drifting_longlines,,VL,1,1,41.0585823059082,,Trawlers,0.9838529825210571,Trawlers,0.9838529825210571,Trawlers,0.9882970452308655,Trawlers,0.9882970452308655,6,2,34.253173192342125,4.334732492771789,Pole_and_line,0.6315198157665994,Pole_and_line,0.6315198157665994,Pole_and_line,0.6509904250688123,Pole_and_line,0.6509904250688123,2730,2727,6700.052361111112,1372,0,0,TWN,Taiwan,,,,,,SHENG I TSAI NO.868,2,,,BJ5075,2,2769.5369444444445,30,,,,,,
https://www.google.com/search?q=mmsi+412326895,412326895,longline - don't know if set or longline,,VL,2,1,39.163795471191406,4.3379181900378,Trawlers,0.9814792573451996,Trawlers,0.9814792573451996,Trawlers,0.9841917455196381,Trawlers,0.9841917455196381,2,1,39.163795471191406,4.3379181900378,Trawlers,0.9814792573451996,Trawlers,0.9814792573451996,Trawlers,0.9841917455196381,Trawlers,0.9841917455196381,8628,7978,26610.28541666665,2726,8577,0,CHN,China,,,,,,ZHONGSHUI 811,2,8653619,1,BZSI8,1,39.51416666666667,1,,,,,277635.4650000002,279
https://www.google.com/search?q=mmsi+440590000,440590000,Trawlers,,VL,3,1,48.033800760904946,3.1666529225502513,Trawlers,0.9790935317675272,Trawlers,0.9790935317675272,Trawlers,0.9801443020502726,Trawlers,0.9801443020502726,9,2,45.17898432413737,3.551386167934144,Drifting_longlines,0.5514937412549948,Drifting_longlines,0.5514937412549948,Drifting_longlines,0.5573448704930747,Drifting_longlines,0.5573448704930747,21475,21111,22140.576111111033,8044,21104,0,KOR,South Korea,55.0,0.0,1,8.0,1479,38 HANSUNG,1,8717843,1,HLJB,1,113.32972222222222,2,,,,,42107.6563888889,589
https://www.google.com/search?q=mmsi+413343000,413343000,Drifting_longlines,,VL,2,1,35.45078468322754,1.5549503189206724,Trawlers,0.9770577251911163,Trawlers,0.9770577251911163,Trawlers,0.9806376695632935,Trawlers,0.9806376695632935,2,1,35.45078468322754,1.5549503189206724,Trawlers,0.9770577251911163,Trawlers,0.9770577251911163,Trawlers,0.9806376695632935,Trawlers,0.9806376695632935,7753,7575,4425.9731944444275,3528,7695,0,CHN,China,,,,,,ZHONGSHUI704,1,8628949,1,BZZZ8,1,,,,,,,57466.22194444443,23
https://www.google.com/search?q=mmsi+412500244,412500244,longline - don't know if set or longline,most likely drifting ,VL,1,1,40.32194137573242,,Trawlers,0.9754859805107117,Trawlers,0.9754859805107117,Trawlers,0.9760177135467529,Trawlers,0.9760177135467529,1,1,40.32194137573242,,Trawlers,0.9754859805107117,Trawlers,0.9754859805107117,Trawlers,0.9760177135467529,Trawlers,0.9760177135467529,1955,1945,3957.1444444444446,827,0,0,CHN,China,20.0,0.0,1,0.0,172,GUI YUAN YU 60005,1,,,BZWZ35,1,724.9691666666669,23,,,,,,
https://www.google.com/search?q=mmsi+413340000,413340000,Drifting_longlines,,VL,2,1,33.70668411254883,0.76383306753433,Trawlers,0.9747518599033356,Trawlers,0.9747518599033356,Trawlers,0.979780912399292,Trawlers,0.979780912399292,2,1,33.70668411254883,0.76383306753433,Trawlers,0.9747518599033356,Trawlers,0.9747518599033356,Trawlers,0.979780912399292,Trawlers,0.979780912399292,10381,10093,7708.516527777736,5204,10327,0,CHN,China,,,,,,ZHONGSHUI 701,1,8628901,1,BZZZ5,1,,,,,,,137923.04694444445,112
