fraction_fishing,mmsi,new label,Notes,PyBossa Project,nn_times_classified_all,nn_number_max_labels_all,nn_average_length_all,nn_max_label_all,nn_max_score_all,nn_max_label_fishing_all,nn_max_fishing_score_all,nn_max_sublabel_all,nn_max_sub_score_all,nn_max_sublabel_fishing_all,nn_max_sub_fishing_score_all,positions,active_positions,active_hours,fishing_points,num_A,num_B,iso3,country_name,average_length,avg_num_distinct_lengths,avg_width,number_valid_length_messages,gap_hours,num_gaps,training_label,training_sublabel,training_length,training_listsources,spoofing_hours,num_overlapping_segs
0.1712466487935657,251059110,unknown_but_not_fishing,high speed vessel,http://crowd.globalfishingwatch.org/project/id_problem_vessels/task/11249,2,1,14.75596809387207,Passenger,0.9999856948852539,Trawlers,4.540372913197643E-6,Sailing,0.9999231696128845,Trawlers,6.1654829437429726E-6,3029,2984,2838.124166666667,511,0,0,ISL,Iceland,11.0,1.0,4.0,925,67.72944444444444,1,,,,,,
0.12680793810965355,627150000,unknown_fishing,"fishing vessel flagged to Ghana, no info",http://crowd.globalfishingwatch.org/project/id_problem_vessels/task/11261,1,1,25.059574127197266,Seismic_vessel,0.9999631643295288,Trawlers,2.8153574021416716E-5,Seismic_vessel,0.9999451637268066,Trawlers,4.7117489884840325E-5,4849,2973,6968.250972222221,377,0,0,GHA,Ghana,50.0,1.0,10.0,2233,3643.066388888889,82,,,,,,
0.24592391304347827,219000446,Sailing,sailing,http://crowd.globalfishingwatch.org/project/id_problem_vessels/task/11346,1,1,2.0688462257385254,Passenger,0.999947190284729,Trawlers,1.4018164407048062E-8,Sailing,0.999954342842102,Trawlers,2.9679668500648404E-8,3669,2208,506.93569444444444,543,0,0,DNK,Denmark,19.0,1.0,6.0,1001,,,,,,,,
0.16066240946758237,577077000,,,http://crowd.globalfishingwatch.org/project/id_problem_vessels/task/11358,9,1,104.35673692491319,Reefer,0.9994656576050652,Purse_seines,3.9861494880839073E-4,Reefer,0.9995813965797424,Purse_seines,2.778931627662986E-4,97654,74697,14686.636666666569,12001,78264,0,VUT,Vanuatu,98.0,1.0,17.0,31916,733.8263888888889,13,Reefer,,98.28,reefer_fishing,0.06777777777777778,1
0.12664453461207426,416521000,,,http://crowd.globalfishingwatch.org/project/id_problem_vessels/task/11264,1,1,77.66567993164062,Reefer,0.9993482232093811,Purse_seines,2.558722553658299E-5,Reefer,0.9993614554405212,Purse_seines,1.0998128345818259E-5,40061,8133,10316.4923611111,1030,7492,0,TWN,Taiwan,69.14604150653344,1.25,14.12836279784781,20276,10029.947777777781,92,,,,,,
0.2062015503875969,251115240,other_fishing,"Fishing vessel using jigs/handlines
",http://crowd.globalfishingwatch.org/project/id_problem_vessels/task/11263,4,1,37.35606050491333,Tug_Pilot,0.9992586672306061,Fixed_gear,2.2082325178314488E-7,Pilot,0.9999490827322006,Set_longlines,1.731775783832181E-8,3968,3225,1876.6881944444444,665,51,0,ISL,Iceland,8.0,1.0,2.0,1254,196.22972222222222,1,,,,,,
0.1717369970559372,577314000,Reefer,Reefer https://www.wcpfc.int/node/17200,http://crowd.globalfishingwatch.org/project/id_problem_vessels/task/11239,3,1,109.84058125813802,Reefer,0.9987632830937704,Purse_seines,8.205848823402325E-7,Reefer,0.9986265699068705,Purse_seines,1.103409014306204E-6,9911,2038,406.5697222222245,350,2015,0,VUT,Vanuatu,120.0,1.0,18.0,1389,68.03666666666666,1,Reefer,,120.2,reefer_fishing,,
0.19745275951053026,416110700,Reefer,Reefer (probably) https://www.wcpfc.int/node/15531,http://crowd.globalfishingwatch.org/project/id_problem_vessels/task/11196,3,1,85.99667867024739,Reefer,0.9985701441764832,Purse_seines,3.231580098865076E-5,Reefer,0.9986303448677063,Purse_seines,2.085386820264527E-5,32242,12013,11980.170416666664,2372,4638,0,TWN,Taiwan,64.0,1.0,12.0,12464,8387.733055555555,126,,,,,269.19305555555553,1
0.10882754436523585,416602000,Reefer,Reefer https://www.wcpfc.int/node/15532,http://crowd.globalfishingwatch.org/project/id_problem_vessels/task/11278,4,1,73.8065595626831,Reefer,0.9982349723577499,Purse_seines,4.5099428061234903E-4,Reefer,0.9988372027873993,Purse_seines,3.299363957962598E-4,43099,26372,11590.05805555556,2870,28444,0,TWN,Taiwan,77.0,1.0,12.602538154145025,21642,11482.776111111112,91,Reefer,,73.4,reefer_fishing,11093.851666666671,36
0.13165058153922296,251824640,other_fishing,Small Fishing?,http://crowd.globalfishingwatch.org/project/id_problem_vessels/task/11379,7,1,35.7243537902832,Tug_Pilot,0.9980571355138507,Fixed_gear,2.219479685441894E-6,Pilot,0.9999144758496966,Set_longlines,4.042389683753256E-8,5062,4041,3438.702916666667,532,18,0,ISL,Iceland,9.0,1.0,2.0,1676,,,,,,,,
