mmsi,clav_fishing,clav_label,clav_sublabel,clav_length,clav_tonnage,num_clav_geartypes
247083420,Fishing vessel,Trawlers,Trawlers,27.3,120.0,1
601160100,Fishing vessel,Pole and line,Pole and line,19.96,79.06,1
367129120,Fishing vessel,Pole and line,Pole and line,22.9,150.0,1
224079440,Fishing vessel,Pole and line,Pole and line,31.6,160.0,1
367078130,Fishing vessel,Trollers,Trollers,32.09,180.0,1
204287000,Fishing vessel,Pole and line,Pole and line,29.9,186.43,1
247096450,Fishing vessel,Trawlers,Trawlers,25.5,52.0,1
224004810,Fishing vessel,Pole and line,Pole and line,31.5,186.0,1
247100320,Fishing vessel,Trawlers,Trawlers,23.09,149.0,1
273526800,Fishing vessel,Trawlers,Trawlers,120.47,,1
235025319,Fishing vessel,Trawlers,Trawlers,40.2,,1
367040420,Fishing vessel,Trollers,Trollers,14.425,41.0,1
366207650,Fishing vessel,Trollers,Trollers,22.86,59.0,1
224547000,Fishing vessel,Trawlers,Trawlers,69.25,1454.0,1
235051022,Fishing vessel,Trawlers,Trawlers,72.0,2411.0,1
250116400,Fishing vessel,Trawlers,Trawlers,21.65,176.0,1
247144240,Fishing vessel,Trawlers,Trawlers,26.35,110.0,1
224181290,Fishing vessel,Trawlers,Trawlers,29.0,234.86,1
224114650,Fishing vessel,Pole and line,Pole and line,33.3,148.0,1
235627000,Fishing vessel,Trawlers,Trawlers,35.5,,1
627848000,Fishing vessel,Pole and line,Pole and line,48.93,434.0,1
235013871,Fishing vessel,Trawlers,Trawlers,31.73,,1
250000309,Fishing vessel,Trawlers,Trawlers,21.95,131.0,1
250001769,Fishing vessel,Trawlers,Trawlers,27.36,268.0,1
204829000,Fishing vessel,Pole and line,Pole and line,25.41,116.0,1
601189200,Fishing vessel,Pole and line,Pole and line,24.0,116.0,1
431680000,Fishing vessel,Pole and line,Pole and line,56.2,498.0,1
227574000,Fishing vessel,Set gillnets,Set gillnets,22.4,155.49,1
235674000,Fishing vessel,Trawlers,Trawlers,70.7,,1
224075000,Fishing vessel,Trawlers,Trawlers,30.7,286.0,1
227401000,Fishing vessel,Trawlers,Trawlers,22.82,143.44,1
367172260,Fishing vessel,Trollers,Trollers,37.97,179.0,1
601770000,Fishing vessel,Pole and line,Pole and line,29.74,243.0,1
224050560,Fishing vessel,Pole and line,Pole and line,31.5,177.0,1
247144390,Fishing vessel,Trawlers,Trawlers,25.24,112.0,1
367147350,Fishing vessel,Pole and line,Pole and line,23.47,103.0,1
227317860,Fishing vessel,Trawlers,Trawlers,20.05,48.66,1
227443000,Fishing vessel,Trawlers,Trawlers,20.6,103.09,1
224013220,Fishing vessel,Trawlers,Trawlers,30.7,286.0,1
250105800,Fishing vessel,Trawlers,Trawlers,22.5,190.0,1
228154900,Fishing vessel,Trawlers,Trawlers,24.95,147.0,1
227145900,Fishing vessel,Trawlers,Trawlers,24.95,147.0,1
224065000,Fishing vessel,Trawlers,Trawlers,28.0,219.02,1
228236800,Fishing vessel,Trawlers,Trawlers,22.65,100.0,1
367131750,Fishing vessel,Pole and line,Pole and line,25.84,194.0,1
512410000,Fishing vessel,Trawlers,Trawlers,23.98,202.0,1
224070000,Fishing vessel,Pole and line,Pole and line,38.3,262.0,1
367074460,Fishing vessel,Pole and line,Pole and line,26.14,155.0,1
247100480,Fishing vessel,Trawlers,Trawlers,27.7,159.0,1
233190000,Fishing vessel,Trawlers,Trawlers,26.7,,1
512411000,Fishing vessel,Trawlers,Trawlers,104.5,90.4,1
247071060,Fishing vessel,Trawlers,Trawlers,24.7,110.0,1
247071050,Fishing vessel,Trawlers,Trawlers,24.3,98.0,1
227831000,Fishing vessel,Trawlers,Trawlers,22.5,159.6,1
224134550,Fishing vessel,Trawlers,Trawlers,31.4,277.0,1
247145660,Fishing vessel,Trawlers,Trawlers,25.1,174.0,1
247121220,Fishing vessel,Trawlers,Trawlers,25.9,89.0,1
247143430,Fishing vessel,Trawlers,Trawlers,26.83,92.0,1
224024480,Fishing vessel,Pole and line,Pole and line,31.5,115.95,1
431200880,Fishing vessel,Pole and line,Pole and line,53.34,499.0,1
224157840,Fishing vessel,Pole and line,Pole and line,33.5,197.0,1
367092680,Fishing vessel,Pole and line,Pole and line,25.0,90.0,1
232555000,Fishing vessel,Trawlers,Trawlers,55.5,,1
250102800,Fishing vessel,Trawlers,Trawlers,37.3,447.0,1
247146010,Fishing vessel,Trawlers,Trawlers,27.59,120.0,1
247120480,Fishing vessel,Trawlers,Trawlers,28.7,157.0,1
247120490,Fishing vessel,Trawlers,Trawlers,24.6,65.0,1
246274000,Fishing vessel,Trawlers,Trawlers,126.22,7053.0,1
224103760,Fishing vessel,Pole and line,Pole and line,29.85,136.0,1
224136380,Fishing vessel,Trawlers,Trawlers,31.3,254.0,1
228840000,Fishing vessel,Set gillnets,Set gillnets,23.09,142.89,1
271072145,Fishing vessel,Trollers,Trollers,22.73,25.0,1
247118500,Fishing vessel,Trawlers,Trawlers,41.4,431.0,1
226150000,Fishing vessel,Trawlers,Trawlers,23.3,165.5,1
247121440,Fishing vessel,Trawlers,Trawlers,25.11,70.0,1
232007300,Fishing vessel,Trawlers,Trawlers,26.19,,1
247121790,Fishing vessel,Trawlers,Trawlers,23.68,65.0,1
431914000,Fishing vessel,Pole and line,Pole and line,52.65,455.0,1
250103600,Fishing vessel,Trawlers,Trawlers,22.65,193.0,1
224081180,Fishing vessel,Set gillnets,Set gillnets,26.5,114.0,1
247147390,Fishing vessel,Trawlers,Trawlers,27.72,159.0,1
367551660,Fishing vessel,Pole and line,Pole and line,23.5,138.0,1
224069850,Fishing vessel,Pole and line,Pole and line,32.0,159.0,1
224051140,Fishing vessel,Pole and line,Pole and line,24.7,109.0,1
232006820,Fishing vessel,Set gillnets,Set gillnets,31.12,,1
224086780,Fishing vessel,Pole and line,Pole and line,33.0,198.0,1
366218540,Fishing vessel,Pole and line,Pole and line,23.5,124.0,1
247051980,Fishing vessel,Trawlers,Trawlers,27.45,136.0,1
228843000,Fishing vessel,Set gillnets,Set gillnets,20.48,104.22,1
224089000,Fishing vessel,Pole and line,Pole and line,38.3,262.0,1
431500911,Fishing vessel,Pole and line,Pole and line,29.12,99.0,1
228240800,Fishing vessel,Trawlers,Trawlers,20.7,117.6,1
247083500,Fishing vessel,Trawlers,Trawlers,44.15,490.0,1
271072603,Fishing vessel,Trollers,Trollers,27.2,118.0,1
247120240,Fishing vessel,Trawlers,Trawlers,28.46,133.0,1
227307000,Fishing vessel,Trawlers,Trawlers,20.6,99.22,1
224128930,Fishing vessel,Pole and line,Pole and line,37.0,229.0,1
227415000,Fishing vessel,Trawlers,Trawlers,20.6,103.09,1
227320020,Fishing vessel,Trawlers,Trawlers,21.0,36.0,1
224204490,Fishing vessel,Trawlers,Trawlers,30.0,238.0,1
247051840,Fishing vessel,Trawlers,Trawlers,24.69,99.0,1
250001166,Fishing vessel,Trawlers,Trawlers,23.4,163.0,1
247070600,Fishing vessel,Trawlers,Trawlers,35.6,365.0,1
247071040,Fishing vessel,Trawlers,Trawlers,22.82,129.0,1
247099790,Fishing vessel,Trawlers,Trawlers,28.73,135.0,1
227317000,Fishing vessel,Trawlers,Trawlers,22.8,145.82,1
367070360,Fishing vessel,Trollers,Trollers,17.065,68.5,1
250101900,Fishing vessel,Trawlers,Trawlers,26.9,279.0,1
271072507,Fishing vessel,Trollers,Trollers,25.35,36.0,1
247100020,Fishing vessel,Trawlers,Trawlers,25.0,96.0,1
232746000,Fishing vessel,Trawlers,Trawlers,40.0,,1
228185800,Fishing vessel,Set gillnets,Set gillnets,23.0,150.37,1
431200990,Fishing vessel,Pole and line,Pole and line,48.76,359.0,1
255402880,Fishing vessel,Pole and line,Pole and line,26.0,120.3,1
232007650,Fishing vessel,Trawlers,Trawlers,26.3,,1
224181230,Fishing vessel,Trawlers,Trawlers,31.9,292.0,1
277330000,Fishing vessel,Trawlers,Trawlers,139.455,9499.0,1
224218930,Fishing vessel,Set gillnets,Set gillnets,26.0,107.42,1
431200060,Fishing vessel,Pole and line,Pole and line,56.3,499.0,1
247050790,Fishing vessel,Trawlers,Trawlers,24.84,208.0,1
224068650,Fishing vessel,Trawlers,Trawlers,28.0,227.0,1
247102070,Fishing vessel,Trawlers,Trawlers,20.62,57.0,1
247120980,Fishing vessel,Trawlers,Trawlers,27.8,92.0,1
224141970,Fishing vessel,Pole and line,Pole and line,30.85,139.0,1
316002732,Fishing vessel,Trollers,Trollers,18.29,110.07,1
232006940,Fishing vessel,Trawlers,Trawlers,26.0,,1
228110800,Fishing vessel,Trawlers,Trawlers,20.55,92.0,1
224027520,Fishing vessel,Trawlers,Trawlers,32.0,257.0,1
228218800,Fishing vessel,Trawlers,Trawlers,24.9,95.0,1
367161930,Fishing vessel,Trollers,Trollers,15.145,222.5,1
512400000,Fishing vessel,Trawlers,Trawlers,60.47,1899.0,1
224259220,Fishing vessel,Trawlers,Trawlers,29.5,247.0,1
232006840,Fishing vessel,Set gillnets,Set gillnets,27.3,,1
235055004,Fishing vessel,Trawlers,Trawlers,35.0,355.0,1
601677000,Fishing vessel,Pole and line,Pole and line,21.87,72.31,1
273528800,Fishing vessel,Trawlers,Trawlers,120.47,,1
228187700,Fishing vessel,Trawlers,Trawlers,24.7,98.0,1
224074890,Fishing vessel,Pole and line,Pole and line,32.0,160.0,1
247083400,Fishing vessel,Trawlers,Trawlers,44.15,490.0,1
224104450,Fishing vessel,Pole and line,Pole and line,31.0,162.0,1
512002694,Fishing vessel,Trawlers,Trawlers,25.0,129.0,1
228935000,Fishing vessel,Trawlers,Trawlers,23.5,134.0,1
247125640,Fishing vessel,Trawlers,Trawlers,24.07,63.0,1
247142750,Fishing vessel,Trawlers,Trawlers,31.06,179.0,1
366831470,Fishing vessel,Trollers,Trollers,13.56,22.0,1
247081650,Fishing vessel,Trawlers,Trawlers,27.0,139.0,1
224075180,Fishing vessel,Pole and line,Pole and line,31.2,194.0,1
247146750,Fishing vessel,Trawlers,Trawlers,33.3,177.0,1
367399460,Fishing vessel,Trollers,Trollers,9.75,13.5,1
250104600,Fishing vessel,Trawlers,Trawlers,27.0,256.0,1
250001143,Fishing vessel,Trawlers,Trawlers,20.4,110.0,1
247121240,Fishing vessel,Trawlers,Trawlers,32.58,173.0,1
228107800,Fishing vessel,Trawlers,Trawlers,24.975,226.63,1
227409000,Fishing vessel,Trawlers,Trawlers,20.78,109.0,1
232006620,Fishing vessel,Set gillnets,Set gillnets,37.66,,1
224082580,Fishing vessel,Pole and line,Pole and line,26.0,87.0,1
228248700,Fishing vessel,Trawlers,Trawlers,24.95,69.46,1
601690000,Fishing vessel,Pole and line,Pole and line,19.73,73.17,1
247142790,Fishing vessel,Trawlers,Trawlers,26.95,138.0,1
367061930,Fishing vessel,Trollers,Trollers,23.0,64.0,1
316012074,Fishing vessel,Trollers,Trollers,12.65,24.525,1
227860000,Fishing vessel,Trawlers,Trawlers,22.8,137.0,1
367030568,Fishing vessel,Trollers,Trollers,23.6,138.0,1
367046890,Fishing vessel,Trollers,Trollers,21.67,103.0,1
247118400,Fishing vessel,Trawlers,Trawlers,41.4,435.0,1
367134180,Fishing vessel,Pole and line,Pole and line,,53.5,1
273352910,Fishing vessel,Trawlers,Trawlers,94.0,,1
204206740,Fishing vessel,Pole and line,Pole and line,20.0,77.39,1
228888000,Fishing vessel,Trawlers,Trawlers,20.7,103.0,1
224896000,Fishing vessel,Pole and line,Pole and line,32.5,177.0,1
235002690,Fishing vessel,Trawlers,Trawlers,28.0,,1
247051410,Fishing vessel,Trawlers,Trawlers,24.84,208.0,1
224204520,Fishing vessel,Trawlers,Trawlers,30.0,238.0,1
247083410,Fishing vessel,Trawlers,Trawlers,27.25,114.0,1
226183000,Fishing vessel,Trawlers,Trawlers,24.45,202.45,1
209353000,Fishing vessel,Trawlers,Trawlers,23.8,91.12,1
367500440,Fishing vessel,Trollers,Trollers,,52.5,1
367187480,Fishing vessel,Pole and line,Pole and line,22.6,35.0,1
224004800,Fishing vessel,Pole and line,Pole and line,28.5,161.0,1
224105920,Fishing vessel,Trawlers,Trawlers,27.9,200.6,1
512236000,Fishing vessel,Trawlers,Trawlers,65.1,1899.0,1
224121650,Fishing vessel,Trawlers,Trawlers,28.5,243.0,1
431698000,Fishing vessel,Pole and line,Pole and line,47.71,385.0,1
247083210,Fishing vessel,Trawlers,Trawlers,26.75,141.0,1
204851000,Fishing vessel,Pole and line,Pole and line,25.4,138.52,1
367104170,Fishing vessel,Pole and line,Pole and line,25.0,90.0,1
247147590,Fishing vessel,Trawlers,Trawlers,31.95,215.0,1
224125140,Fishing vessel,Trawlers,Trawlers,31.4,277.0,1
235001810,Fishing vessel,Trawlers,Trawlers,26.0,,1
237918000,Fishing vessel,Trawlers,Trawlers,28.0,41.14,1
247064760,Fishing vessel,Trawlers,Trawlers,28.04,105.0,1
367157650,Fishing vessel,Trollers,Trollers,19.1,36.0,1
627163000,Fishing vessel,Pole and line,Pole and line,57.16,418.0,1
250428000,Fishing vessel,Trawlers,Trawlers,26.6,335.0,1
431693000,Fishing vessel,Pole and line,Pole and line,56.87,499.0,1
247120670,Fishing vessel,Trawlers,Trawlers,24.95,69.0,1
247061610,Fishing vessel,Trawlers,Trawlers,26.28,91.0,1
247092970,Fishing vessel,Trawlers,Trawlers,24.8,63.0,1
232007970,Fishing vessel,Trawlers,Trawlers,25.1,,1
227917000,Fishing vessel,Trawlers,Trawlers,32.8,273.0,1
247304930,Fishing vessel,Trawlers,Trawlers,29.81,140.0,1
247083440,Fishing vessel,Trawlers,Trawlers,25.5,132.0,1
228137900,Fishing vessel,Trawlers,Trawlers,23.3,182.76,1
247051830,Fishing vessel,Trawlers,Trawlers,26.8,133.0,1
367575760,Fishing vessel,Trollers,Trollers,17.67,83.0,1
235002051,Fishing vessel,Trawlers,Trawlers,24.7,,1
227483000,Fishing vessel,Trawlers,Trawlers,22.0,131.08,1
367326480,Fishing vessel,Pole and line,Pole and line,32.22,198.0,1
247120440,Fishing vessel,Trawlers,Trawlers,24.63,88.0,1
247083540,Fishing vessel,Trawlers,Trawlers,28.1,108.0,1
224123720,Fishing vessel,Trawlers,Trawlers,30.9,263.0,1
227309000,Fishing vessel,Trawlers,Trawlers,24.9,178.91,1
247120470,Fishing vessel,Trawlers,Trawlers,28.7,157.0,1
235011319,Fishing vessel,Trawlers,Trawlers,43.51,,1
224057830,Fishing vessel,Set gillnets,Set gillnets,27.0,106.74,1
233651000,Fishing vessel,Trawlers,Trawlers,27.4,,1
250117400,Fishing vessel,Trawlers,Trawlers,24.5,230.0,1
237885000,Fishing vessel,Trawlers,Trawlers,28.15,63.22,1
224040260,Fishing vessel,Pole and line,Pole and line,36.0,236.0,1
225353000,Fishing vessel,Trawlers,Trawlers,30.5,278.0,1
211238930,Fishing vessel,Trawlers,Trawlers,116.7,7278.0,1
247083070,Fishing vessel,Trawlers,Trawlers,25.6,118.0,1
232006590,Fishing vessel,Set gillnets,Set gillnets,38.2,,1
224061430,Fishing vessel,Pole and line,Pole and line,35.6,206.0,1
247070850,Fishing vessel,Trawlers,Trawlers,25.1,121.0,1
247121190,Fishing vessel,Trawlers,Trawlers,25.84,89.0,1
227145300,Fishing vessel,Trawlers,Trawlers,24.95,146.0,1
224148740,Fishing vessel,Set gillnets,Set gillnets,24.0,150.27,1
227393000,Fishing vessel,Trawlers,Trawlers,24.9,157.89,1
224067670,Fishing vessel,Trawlers,Trawlers,27.9,210.8,1
224208650,Fishing vessel,Trawlers,Trawlers,29.0,239.0,1
273350650,Fishing vessel,Trawlers,Trawlers,104.5,,1
204201560,Fishing vessel,Pole and line,Pole and line,25.4,138.66,1
247051550,Fishing vessel,Trawlers,Trawlers,26.74,111.0,1
232006050,Fishing vessel,Trawlers,Trawlers,40.0,,1
366738920,Fishing vessel,Trollers,Trollers,24.1,167.0,1
224030940,Fishing vessel,Set gillnets,Set gillnets,25.0,166.37,1
224209000,Fishing vessel,Trawlers,Trawlers,29.5,241.0,1
232006310,Fishing vessel,Trawlers,Trawlers,26.1,,1
224019630,Fishing vessel,Pole and line,Pole and line,36.0,252.0,1
247051920,Fishing vessel,Trawlers,Trawlers,26.5,101.0,1
247070670,Fishing vessel,Trawlers,Trawlers,24.0,98.0,1
224047430,Fishing vessel,Trawlers,Trawlers,31.35,256.48,1
224460000,Fishing vessel,Pole and line,Pole and line,29.1,138.0,1
247220130,Fishing vessel,Trawlers,Trawlers,27.6,79.0,1
247071930,Fishing vessel,Trawlers,Trawlers,26.45,125.0,1
247101510,Fishing vessel,Trawlers,Trawlers,25.85,120.0,1
271062093,Fishing vessel,Trollers,Trollers,25.0,114.0,1
247070970,Fishing vessel,Trawlers,Trawlers,26.68,124.0,1
204834000,Fishing vessel,Pole and line,Pole and line,29.25,145.0,1
227143600,Fishing vessel,Trawlers,Trawlers,23.4,177.56,1
224074180,Fishing vessel,Pole and line,Pole and line,24.7,106.0,1
235058829,Fishing vessel,Trawlers,Trawlers,26.25,153.0,1
224895000,Fishing vessel,Pole and line,Pole and line,32.5,177.0,1
277506000,Fishing vessel,Trawlers,Trawlers,120.0,7765.0,1
