mmsi,itu_fishing,itu_label,itu_sublabel,itu_tonnage
316005440,Fishing vessel,Fishing vessel,,64.0
316005446,Fishing vessel,Fishing vessel,,72.0
316005460,Fishing vessel,Fishing vessel,,94.0
316005482,Fishing vessel,Fixed gear,Pots and traps,14.0
316005483,Fishing vessel,Fixed gear,Pots and traps,12.0
316005519,Fishing vessel,Fixed gear,Pots and traps,15.0
316005601,Fishing vessel,Fishing vessel,,99.0
316005604,Fishing vessel,Fishing vessel,,14.0
316005639,Fishing vessel,Fishing vessel,,40.0
316005663,Fishing vessel,Fishing vessel,,1.0
316005670,Fishing vessel,Fishing vessel,,56.0
316005745,Fishing vessel,Fixed gear,Pots and traps,22.0
316005747,Fishing vessel,Fixed gear,Pots and traps,25.0
316005755,Fishing vessel,Fixed gear,Pots and traps,47.0
316005756,Fishing vessel,Fixed gear,Pots and traps,54.0
316005757,Fishing vessel,Fixed gear,Pots and traps,24.0
316005780,Fishing vessel,Fishing vessel,,63.0
316005782,Fishing vessel,Fishing vessel,,28.0
316005804,Fishing vessel,Fishing vessel,,128.0
316005805,Fishing vessel,Fishing vessel,,110.0
316005832,Fishing vessel,Fishing vessel,,150.0
316005904,Fishing vessel,Fishing vessel,,43.0
316005926,Fishing vessel,Fixed gear,Pots and traps,10.0
316005927,Fishing vessel,Fishing vessel,,45.0
316005931,Fishing vessel,Trawlers,Trawlers,77.0
316005950,Fishing vessel,Fishing vessel,,33.0
316005953,Fishing vessel,Fishing vessel,,15.0
316005961,Fishing vessel,Fixed gear,Pots and traps,62.0
316005967,Fishing vessel,Fixed gear,Pots and traps,19.0
316005968,Fishing vessel,Fixed gear,Pots and traps,22.0
316005996,Fishing vessel,Fixed gear,Pots and traps,99.0
316005999,Fishing vessel,Fixed gear,Pots and traps,9.0
316006001,Fishing vessel,Fixed gear,Pots and traps,13.0
316006028,Fishing vessel,Fixed gear,Pots and traps,33.0
316006037,Fishing vessel,Fishing vessel,,14.0
316006038,Fishing vessel,Fishing vessel,,15.0
316006043,Fishing vessel,Fixed gear,Pots and traps,15.0
316006055,Fishing vessel,Fishing vessel,,62.0
316006077,Fishing vessel,Fishing vessel,,43.0
316006078,Fishing vessel,Fishing vessel,,81.0
316006080,Fishing vessel,Fishing vessel,,90.0
316006085,Fishing vessel,Fishing vessel,,95.0
316006091,Fishing vessel,Trawlers,Trawlers,43.0
316006124,Fishing vessel,Fishing vessel,,79.0
316006137,Fishing vessel,Fishing vessel,,27.0
316006158,Fishing vessel,Fishing vessel,,11.0
316006164,Fishing vessel,Fishing vessel,,14.0
316006171,Fishing vessel,Fishing vessel,,88.0
316006183,Fishing vessel,Fishing vessel,,81.0
316006190,Fishing vessel,Fishing vessel,,58.0
316006198,Fishing vessel,Fixed gear,Pots and traps,19.0
316006202,Fishing vessel,Fishing vessel,,69.0
316006208,Fishing vessel,Fixed gear,Pots and traps,15.0
316006210,Fishing vessel,Fishing vessel,,15.0
316006225,Fishing vessel,Fishing vessel,,36.0
316006236,Fishing vessel,Fixed gear,Pots and traps,93.0
316006255,Fishing vessel,Fixed gear,Pots and traps,43.0
316006297,Fishing vessel,Fishing vessel,,14.0
316006299,Fishing vessel,Fixed gear,Pots and traps,47.0
316006301,Fishing vessel,Fixed gear,Pots and traps,42.0
316006306,Fishing vessel,Fixed gear,Pots and traps,12.0
316006307,Fishing vessel,Fixed gear,Pots and traps,43.0
316006317,Fishing vessel,Trawlers,Trawlers,13.0
316006342,Fishing vessel,Fixed gear,Pots and traps,56.0
316006343,Fishing vessel,Fixed gear,Pots and traps,14.0
316006344,Fishing vessel,Fishing vessel,,66.0
316006353,Fishing vessel,Fishing vessel,,24.0
316006355,Fishing vessel,Fixed gear,Pots and traps,9.0
316006377,Fishing vessel,Trawlers,Trawlers,9.0
316006381,Fishing vessel,Fishing vessel,,25.0
316006401,Fishing vessel,Fishing vessel,,69.0
316006419,Fishing vessel,Fixed gear,Pots and traps,14.0
316006429,Fishing vessel,Fixed gear,Pots and traps,50.0
316006431,Fishing vessel,Fixed gear,Pots and traps,29.0
316006433,Fishing vessel,Fixed gear,Pots and traps,60.0
316006434,Fishing vessel,Fixed gear,Pots and traps,40.0
316006440,Fishing vessel,Fishing vessel,,131.0
316006479,Fishing vessel,Fixed gear,Pots and traps,14.0
316006489,Fishing vessel,Fixed gear,Pots and traps,12.0
316006491,Fishing vessel,Fishing vessel,,5.0
316006494,Fishing vessel,Fishing vessel,,13.0
316006518,Fishing vessel,Fixed gear,Pots and traps,8.0
316006568,Fishing vessel,Fixed gear,Pots and traps,13.0
316006569,Fishing vessel,Fixed gear,Pots and traps,15.0
316006571,Fishing vessel,Fixed gear,Pots and traps,13.0
316006621,Fishing vessel,Fishing vessel,,61.0
316006657,Fishing vessel,Fixed gear,Pots and traps,13.0
316006658,Fishing vessel,Fixed gear,Pots and traps,15.0
316006706,Fishing vessel,Fishing vessel,,15.0
316006707,Fishing vessel,Fixed gear,Pots and traps,14.0
316006724,Fishing vessel,Fishing vessel,,91.0
316006725,Fishing vessel,Fixed gear,Pots and traps,149.0
316006748,Fishing vessel,Fishing vessel,,49.0
316006770,Fishing vessel,Fishing vessel,,27.0
316006784,Fishing vessel,Fixed gear,Pots and traps,9.0
316006817,Fishing vessel,Fixed gear,Pots and traps,14.0
316006977,Fishing vessel,Fishing vessel,,89.0
316006983,Fishing vessel,Fixed gear,Pots and traps,13.0
316006984,Fishing vessel,Fixed gear,Pots and traps,14.0
316006988,Fishing vessel,Fishing vessel,,126.0
316007008,Fishing vessel,Fishing vessel,,50.0
316007204,Fishing vessel,Fishing vessel,,50.0
316007208,Fishing vessel,Fixed gear,Pots and traps,14.0
316007238,Fishing vessel,Fishing vessel,,68.0
316007275,Fishing vessel,Fishing vessel,,28.0
316007319,Fishing vessel,Fishing vessel,,63.0
316007373,Fishing vessel,Fishing vessel,,45.0
316007415,Fishing vessel,Fixed gear,Pots and traps,64.0
316007427,Fishing vessel,Fishing vessel,,43.0
316007459,Fishing vessel,Fishing vessel,,21.0
316007471,Fishing vessel,Fishing vessel,,65.0
316007519,Fishing vessel,Fishing vessel,,43.0
316007555,Fishing vessel,Fishing vessel,,23.0
316007646,Fishing vessel,Fishing vessel,,32.0
316007750,Fishing vessel,Fishing vessel,,40.0
316007860,Fishing vessel,Fishing vessel,,33.0
316007945,Fishing vessel,Fishing vessel,,34.0
316007947,Fishing vessel,Fishing vessel,,50.0
316007960,Fishing vessel,Fishing vessel,,40.0
316007989,Fishing vessel,Fixed gear,Pots and traps,13.0
316008016,Fishing vessel,Fishing vessel,,59.0
316008028,Fishing vessel,Fishing vessel,,59.0
316008029,Fishing vessel,Fishing vessel,,88.0
316008038,Fishing vessel,Fishing vessel,,12.0
316008150,Fishing vessel,Fishing vessel,,52.0
316008179,Fishing vessel,Fishing vessel,,13.0
316008234,Fishing vessel,Fixed gear,Pots and traps,13.0
316008357,Fishing vessel,Fishing vessel,,311.0
316008364,Fishing vessel,Fishing vessel,,5.0
316008422,Fishing vessel,Trawlers,Trawlers,6.0
316008434,Fishing vessel,Fixed gear,Pots and traps,10.0
316008461,Fishing vessel,Fishing vessel,,6.0
316008525,Fishing vessel,Fishing vessel,,6.0
316008536,Fishing vessel,Fishing vessel,,6.0
316008537,Fishing vessel,Fishing vessel,,6.0
316008563,Fishing vessel,Fixed gear,Pots and traps,22.0
316008770,Fishing vessel,Fishing vessel,,499.0
316008841,Fishing vessel,Fishing vessel,,15.0
316008865,Fishing vessel,Fishing vessel,,12.0
316008940,Fishing vessel,Fishing vessel,,30.0
316008957,Fishing vessel,Fishing vessel,,40.0
316009040,Fishing vessel,Fishing vessel,,65.0
316009059,Fishing vessel,Fishing vessel,,10.0
316009110,Fishing vessel,Fishing vessel,,51.0
316009113,Fishing vessel,Fixed gear,Pots and traps,15.0
316009150,Fishing vessel,Fishing vessel,,121.0
316009308,Fishing vessel,Fixed gear,Pots and traps,15.0
316009309,Fishing vessel,Fixed gear,Pots and traps,15.0
316009311,Fishing vessel,Fixed gear,Pots and traps,15.0
316009518,Fishing vessel,Fishing vessel,,21.0
316009715,Fishing vessel,Fishing vessel,,59.0
316009764,Fishing vessel,Fishing vessel,,15.0
316009846,Fishing vessel,Fishing vessel,,49.0
316009851,Fishing vessel,Trawlers,Trawlers,8.0
316009905,Fishing vessel,Fishing vessel,,15.0
316009941,Fishing vessel,Fishing vessel,,41.0
316009993,Fishing vessel,Fishing vessel,,10.0
316010048,Fishing vessel,Fixed gear,Pots and traps,11.0
316010050,Fishing vessel,Fishing vessel,,146.0
316010109,Fishing vessel,Fishing vessel,,26.0
316010136,Fishing vessel,Fishing vessel,,15.0
316010185,Fishing vessel,Fishing vessel,,30.0
316010232,Fishing vessel,Fishing vessel,,37.0
316010242,Fishing vessel,Fixed gear,Pots and traps,14.0
316010260,Fishing vessel,Fishing vessel,,71.0
316010281,Fishing vessel,Trawlers,Trawlers,5.0
316010336,Fishing vessel,Trawlers,Trawlers,22.0
316010422,Fishing vessel,Fixed gear,Pots and traps,27.0
316010563,Fishing vessel,Fishing vessel,,15.0
316010656,Fishing vessel,Trawlers,Trawlers,49.0
316010658,Fishing vessel,Fishing vessel,,14.0
316011580,Fishing vessel,Fishing vessel,,24.0
316011658,Fishing vessel,Fixed gear,Pots and traps,21.0
316011760,Fishing vessel,Fishing vessel,,2045.0
316011823,Fishing vessel,Fishing vessel,,15.0
316012006,Fishing vessel,Fishing vessel,,32.0
316012049,Fishing vessel,Fishing vessel,,43.0
316012153,Fishing vessel,Fixed gear,Pots and traps,19.0
316012168,Fishing vessel,Fishing vessel,,82.0
316012215,Fishing vessel,Fishing vessel,,12.0
316012326,Fishing vessel,Fishing vessel,,11.0
316012333,Fishing vessel,Fishing vessel,,14.0
316012377,Fishing vessel,Fixed gear,Pots and traps,37.0
316012394,Fishing vessel,Fishing vessel,,14.0
316012666,Fishing vessel,Fishing vessel,,11.0
316012680,Fishing vessel,Fishing vessel,,40.0
316012690,Fishing vessel,Fishing vessel,,21.0
316012702,Fishing vessel,Fishing vessel,,15.0
316012749,Fishing vessel,Fishing vessel,,19.0
316012780,Fishing vessel,Fishing vessel,,78.0
316012810,Fishing vessel,Fishing vessel,,55.0
316012859,Fishing vessel,Fixed gear,Pots and traps,60.0
316012880,Fishing vessel,Fishing vessel,,190.0
316012953,Fishing vessel,Fishing vessel,,90.0
316013134,Fishing vessel,Fishing vessel,,22.0
316013670,Fishing vessel,Fishing vessel,,23.0
316013751,Fishing vessel,Trawlers,Trawlers,14.0
316013795,Fishing vessel,Fishing vessel,,15.0
316013881,Fishing vessel,Fishing vessel,,185.0
316014090,Fishing vessel,Fishing vessel,,4300.0
316014240,Fishing vessel,Fishing vessel,,2598.0
316014278,Fishing vessel,Trawlers,Trawlers,5.0
316014284,Fishing vessel,Fishing vessel,,15.0
316014343,Fishing vessel,Fishing vessel,,15.0
316014495,Fishing vessel,Fixed gear,Pots and traps,13.0
316014618,Fishing vessel,Trawlers,Trawlers,31.0
316014703,Fishing vessel,Fishing vessel,,1.0
316014751,Fishing vessel,Fixed gear,Pots and traps,12.0
316014771,Fishing vessel,Fishing vessel,,12.0
316015208,Fishing vessel,Fishing vessel,,5.0
316015276,Fishing vessel,Fishing vessel,,5.0
316015342,Fishing vessel,Fixed gear,Pots and traps,11.0
316015367,Fishing vessel,Fishing vessel,,5.0
316015678,Fishing vessel,Trawlers,Trawlers,20.0
316015951,Fishing vessel,Fishing vessel,,15.0
316016234,Fishing vessel,Fishing vessel,,15.0
316016241,Fishing vessel,Fishing vessel,,36.0
316016285,Fishing vessel,Fishing vessel,,93.0
316016316,Fishing vessel,Fishing vessel,,1.0
316016332,Fishing vessel,Fishing vessel,,5.0
316016335,Fishing vessel,Fishing vessel,,11.0
316016401,Fishing vessel,Fishing vessel,,44.0
316016427,Fishing vessel,Fixed gear,Pots and traps,13.0
316016576,Fishing vessel,Trawlers,Trawlers,30.0
316016676,Fishing vessel,Fishing vessel,,8.0
316016718,Fishing vessel,Fishing vessel,,14.0
316016893,Fishing vessel,Fishing vessel,,1.0
316016988,Fishing vessel,Fishing vessel,,5.0
316017005,Fishing vessel,Trawlers,Trawlers,19.0
316017019,Fishing vessel,Fishing vessel,,5.0
316017135,Fishing vessel,Fishing vessel,,147.0
316017182,Fishing vessel,Trawlers,Trawlers,6.0
316017657,Fishing vessel,Fishing vessel,,15.0
316017732,Fishing vessel,Fishing vessel,,19.0
316017744,Fishing vessel,Fishing vessel,,99.0
316017775,Fishing vessel,Fishing vessel,,5.0
316017985,Fishing vessel,Fishing vessel,,11.0
316018002,Fishing vessel,Fishing vessel,,14.0
316018514,Fishing vessel,Fishing vessel,,10.0
316018534,Fishing vessel,Fishing vessel,,10.0
316018554,Fishing vessel,Fishing vessel,,15.0
316018562,Fishing vessel,Fishing vessel,,5.0
316018673,Fishing vessel,Fixed gear,Pots and traps,21.0
316018724,Fishing vessel,Fishing vessel,,39.0
316018861,Fishing vessel,Fishing vessel,,11.0
316019127,Fishing vessel,Trawlers,Trawlers,10.0
316019192,Fishing vessel,Fishing vessel,,15.0
316019205,Fishing vessel,Fixed gear,Pots and traps,11.0
316019209,Fishing vessel,Fishing vessel,,31.0
316019307,Fishing vessel,Trawlers,Trawlers,11.0
316019312,Fishing vessel,Fishing vessel,,
316019352,Fishing vessel,Fishing vessel,,15.0
316019411,Fishing vessel,Fixed gear,Pots and traps,5.0
316019641,Fishing vessel,Fishing vessel,,5.0
316019747,Fishing vessel,Trawlers,Trawlers,18.0
316019798,Fishing vessel,Fixed gear,Pots and traps,12.0
316019827,Fishing vessel,Fishing vessel,,1.0
316019983,Fishing vessel,Fishing vessel,,6.0
316020076,Fishing vessel,Fishing vessel,,11.0
316020085,Fishing vessel,Fishing vessel,,15.0
316020133,Fishing vessel,Fishing vessel,,5.0
316020341,Fishing vessel,Trawlers,Trawlers,47.0
316020379,Fishing vessel,Fishing vessel,,15.0
316020499,Fishing vessel,Fixed gear,Pots and traps,6.0
316020549,Fishing vessel,Trawlers,Trawlers,10.0
316020601,Fishing vessel,Fixed gear,Pots and traps,30.0
316020614,Fishing vessel,Fishing vessel,,5.0
316020762,Fishing vessel,Trawlers,Trawlers,150.0
316021047,Fishing vessel,Fishing vessel,,12.0
316021101,Fishing vessel,Fishing vessel,,27.0
316021104,Fishing vessel,Fishing vessel,,15.0
316021149,Fishing vessel,Fishing vessel,,15.0
316021154,Fishing vessel,Fishing vessel,,75.0
316021156,Fishing vessel,Fishing vessel,,27.0
316021158,Fishing vessel,Fishing vessel,,46.0
316021161,Fishing vessel,Fishing vessel,,19.0
316021172,Fishing vessel,Fishing vessel,,58.0
316021537,Fishing vessel,Fishing vessel,,5.0
316021788,Fishing vessel,Fishing vessel,,5.0
316021858,Fishing vessel,Fishing vessel,,2.0
316021915,Fishing vessel,Fishing vessel,,37.0
316021957,Fishing vessel,Fishing vessel,,8.0
316022153,Fishing vessel,Fishing vessel,,11.0
316022245,Fishing vessel,Fishing vessel,,56.0
316022286,Fishing vessel,Fishing vessel,,5.0
316022399,Fishing vessel,Fishing vessel,,5.0
316022519,Fishing vessel,Fishing vessel,,13.0
316022576,Fishing vessel,Trawlers,Trawlers,26.0
316022776,Fishing vessel,Trawlers,Trawlers,14.0
316022778,Fishing vessel,Trawlers,Trawlers,11.0
316022929,Fishing vessel,Fishing vessel,,10.0
316022989,Fishing vessel,Trawlers,Trawlers,5.0
316023013,Fishing vessel,Fishing vessel,,1.0
316023029,Fishing vessel,Fishing vessel,,43.0
316023195,Fishing vessel,Fishing vessel,,5.0
316023309,Fishing vessel,Fishing vessel,,5.0
316023334,Fishing vessel,Fishing vessel,,5.0
316023364,Fishing vessel,Fishing vessel,,66.0
316023382,Fishing vessel,Trawlers,Trawlers,24.0
316023452,Fishing vessel,Fishing vessel,,93.0
316023539,Fishing vessel,Fishing vessel,,48.0
316023898,Fishing vessel,Fishing vessel,,13.0
316023902,Fishing vessel,Fishing vessel,,5.0
316024137,Fishing vessel,Fishing vessel,,29.0
316024173,Fishing vessel,Fishing vessel,,14.0
316024386,Fishing vessel,Fishing vessel,,15.0
316024765,Fishing vessel,Trawlers,Trawlers,11.0
316024766,Fishing vessel,Trawlers,Trawlers,7.0
316024796,Fishing vessel,Fishing vessel,,41.0
316024904,Fishing vessel,Fishing vessel,,6.0
316024978,Fishing vessel,Fishing vessel,,5.0
316025132,Fishing vessel,Fishing vessel,,57.0
316025182,Fishing vessel,Fishing vessel,,43.0
316025428,Fishing vessel,Trawlers,Trawlers,5.0
316025446,Fishing vessel,Fishing vessel,,27.0
316025466,Fishing vessel,Fishing vessel,,5.0
316025775,Fishing vessel,Fishing vessel,,111.0
316025824,Fishing vessel,Fishing vessel,,5.0
316025861,Fishing vessel,Trawlers,Trawlers,8.0
316025936,Fishing vessel,Fishing vessel,,15.0
316025938,Fishing vessel,Fishing vessel,,5.0
316026025,Fishing vessel,Fishing vessel,,5.0
316026082,Fishing vessel,Fishing vessel,,10.0
316026086,Fishing vessel,Fishing vessel,,12.0
316026132,Fishing vessel,Fishing vessel,,87.0
316026147,Fishing vessel,Fishing vessel,,1.0
316026309,Fishing vessel,Fishing vessel,,5.0
316026348,Fishing vessel,Fishing vessel,,11.0
316026405,Fishing vessel,Trawlers,Trawlers,10.0
316026512,Fishing vessel,Fishing vessel,,1.0
316026555,Fishing vessel,Fishing vessel,,8.0
316026577,Fishing vessel,Fishing vessel,,11.0
316026687,Fishing vessel,Fishing vessel,,5.0
316026769,Fishing vessel,Fishing vessel,,18.0
316026777,Fishing vessel,Fishing vessel,,5.0
316026778,Fishing vessel,Fishing vessel,,5.0
316026779,Fishing vessel,Fishing vessel,,5.0
316026781,Fishing vessel,Fishing vessel,,5.0
316026782,Fishing vessel,Fishing vessel,,5.0
316026783,Fishing vessel,Fishing vessel,,5.0
316026784,Fishing vessel,Fishing vessel,,5.0
316026785,Fishing vessel,Fishing vessel,,5.0
316026786,Fishing vessel,Fishing vessel,,5.0
316026787,Fishing vessel,Fishing vessel,,5.0
316026788,Fishing vessel,Fishing vessel,,5.0
316026789,Fishing vessel,Fishing vessel,,5.0
316026791,Fishing vessel,Fishing vessel,,5.0
316026792,Fishing vessel,Fishing vessel,,5.0
316026793,Fishing vessel,Fishing vessel,,5.0
316026794,Fishing vessel,Fishing vessel,,5.0
316026795,Fishing vessel,Fishing vessel,,5.0
316026796,Fishing vessel,Fishing vessel,,5.0
316026797,Fishing vessel,Fishing vessel,,5.0
316026798,Fishing vessel,Fishing vessel,,5.0
316026799,Fishing vessel,Fishing vessel,,5.0
316026821,Fishing vessel,Fishing vessel,,5.0
316026894,Fishing vessel,Fishing vessel,,18.0
316026947,Fishing vessel,Fishing vessel,,24.0
316027023,Fishing vessel,Trawlers,Trawlers,15.0
316027036,Fishing vessel,Fishing vessel,,362.0
316027043,Fishing vessel,Trawlers,Trawlers,6.0
316027125,Fishing vessel,Fishing vessel,,5.0
316027195,Fishing vessel,Fishing vessel,,5.0
316027198,Fishing vessel,Trawlers,Trawlers,11.0
316027373,Fishing vessel,Fishing vessel,,1.0
316027502,Fishing vessel,Fishing vessel,,5.0
316027669,Fishing vessel,Fishing vessel,,5.0
316027764,Fishing vessel,Fishing vessel,,5.0
316027796,Fishing vessel,Fishing vessel,,5.0
316028105,Fishing vessel,Fishing vessel,,15.0
316028342,Fishing vessel,Fishing vessel,,24.0
316028366,Fishing vessel,Fishing vessel,,384.0
316028381,Fishing vessel,Fishing vessel,,5.0
316028397,Fishing vessel,Fishing vessel,,5.0
316028712,Fishing vessel,Fishing vessel,,15.0
316028713,Fishing vessel,Fishing vessel,,15.0
316028736,Fishing vessel,Fishing vessel,,6.0
316028738,Fishing vessel,Fishing vessel,,5.0
316028747,Fishing vessel,Fishing vessel,,5.0
316028753,Fishing vessel,Fishing vessel,,11.0
316028756,Fishing vessel,Fishing vessel,,15.0
316028763,Fishing vessel,Trawlers,Trawlers,15.0
316028833,Fishing vessel,Fishing vessel,,5.0
316028842,Fishing vessel,Trawlers,Trawlers,11.0
316028855,Fishing vessel,Fixed gear,Pots and traps,46.0
316028863,Fishing vessel,Fishing vessel,,58.0
316028876,Fishing vessel,Fishing vessel,,14.0
316028896,Fishing vessel,Fixed gear,Pots and traps,15.0
316028906,Fishing vessel,Trawlers,Trawlers,13.0
316028939,Fishing vessel,Fishing vessel,,1.0
316028944,Fishing vessel,Fishing vessel,,12.0
316028973,Fishing vessel,Fishing vessel,,15.0
316028997,Fishing vessel,Fishing vessel,,3.0
316029034,Fishing vessel,Fishing vessel,,53.0
316029068,Fishing vessel,Fishing vessel,,5.0
316029083,Fishing vessel,Fishing vessel,,15.0
316029099,Fishing vessel,Fishing vessel,,15.0
316029109,Fishing vessel,Fishing vessel,,12.0
316029114,Fishing vessel,Fishing vessel,,2.0
316029122,Fishing vessel,Fishing vessel,,13.0
316029124,Fishing vessel,Fishing vessel,,15.0
316029125,Fishing vessel,Fishing vessel,,15.0
316029126,Fishing vessel,Fishing vessel,,15.0
316029132,Fishing vessel,Trawlers,Trawlers,15.0
316029134,Fishing vessel,Trawlers,Trawlers,17.0
316029141,Fishing vessel,Fishing vessel,,98.0
316029154,Fishing vessel,Fishing vessel,,5.0
316029174,Fishing vessel,Fishing vessel,,40.0
316029179,Fishing vessel,Fishing vessel,,9.0
