mmsi,geartype,secondary geartype,length,tonnage,country
100000005,Fishing vessel,Fishing vessel,,,
100000018,Fishing vessel,Fishing vessel,,,
100000046,Fishing vessel,Fishing vessel,,,
100000668,Fishing vessel,Fishing vessel,,,
100001001,Fishing vessel,Fishing vessel,,,
100006094,Fishing vessel,Fishing vessel,,,
100009981,Fishing vessel,Fishing vessel,,,
100014971,Fishing vessel,Fishing vessel,,,
100036862,Fishing vessel,Fishing vessel,,,
100040189,Fishing vessel,Fishing vessel,,,
100506940,Fishing vessel,Fishing vessel,,,
100700034,Fishing vessel,Fishing vessel,,,
100700052,Fishing vessel,Fishing vessel,,,
100700106,Fishing vessel,Fishing vessel,,,
100700127,Fishing vessel,Fishing vessel,,,
100700144,Fishing vessel,Fishing vessel,,,
100700146,Fishing vessel,Fishing vessel,,,
100700159,Fishing vessel,Fishing vessel,,,
100700227,Fishing vessel,Fishing vessel,,,
100700231,Fishing vessel,Fishing vessel,,,
100700474,Fishing vessel,Fishing vessel,,,
100700695,Fishing vessel,Fishing vessel,,,
100700761,Fishing vessel,Fishing vessel,,,
100700762,Fishing vessel,Fishing vessel,,,
100700767,Fishing vessel,Fishing vessel,,,
100700772,Fishing vessel,Fishing vessel,,,
100700775,Fishing vessel,Fishing vessel,,,
100700779,Fishing vessel,Fishing vessel,,,
100700798,Fishing vessel,Fishing vessel,,,
100700806,Fishing vessel,Fishing vessel,,,
100700832,Fishing vessel,Fishing vessel,,,
100700833,Fishing vessel,Fishing vessel,,,
100701053,Fishing vessel,Fishing vessel,,,
100701098,Fishing vessel,Fishing vessel,,,
100701145,Fishing vessel,Fishing vessel,,,
100701332,Fishing vessel,Fishing vessel,,,
100701337,Fishing vessel,Fishing vessel,,,
100701567,Fishing vessel,Fishing vessel,,,
100701656,Fishing vessel,Fishing vessel,,,
100701827,Fishing vessel,Fishing vessel,,,
100701977,Fishing vessel,Fishing vessel,,,
100701981,Fishing vessel,Fishing vessel,,,
100702529,Fishing vessel,Fishing vessel,,,
100702531,Fishing vessel,Fishing vessel,,,
100702534,Fishing vessel,Fishing vessel,,,
100702538,Fishing vessel,Fishing vessel,,,
100702574,Fishing vessel,Fishing vessel,,,
100702578,Fishing vessel,Fishing vessel,,,
