mmsi,label,sublabel,length,tonnage,country
0,Tug/Pilot/Supply,Tug,nan,nan,nan
1,Tug/Pilot/Supply,Tug,nan,nan,nan
2,Tug/Pilot/Supply,Tug,nan,nan,nan
3,Tug/Pilot/Supply,Tug,nan,nan,nan
4,Tug/Pilot/Supply,Tug,nan,nan,nan
5,Tug/Pilot/Supply,Tug,nan,nan,nan
6,Tug/Pilot/Supply,Tug,nan,nan,nan
7,Tug/Pilot/Supply,Tug,nan,nan,nan
8,Tug/Pilot/Supply,Tug,nan,nan,nan
9,Tug/Pilot/Supply,Tug,nan,nan,nan
10,Tug/Pilot/Supply,Tug,nan,nan,nan
11,Tug/Pilot/Supply,Tug,nan,nan,nan
12,Tug/Pilot/Supply,Tug,nan,nan,nan
13,Tug/Pilot/Supply,Tug,nan,nan,nan
14,Tug/Pilot/Supply,Tug,nan,nan,nan
15,Tug/Pilot/Supply,Tug,nan,nan,nan
16,Tug/Pilot/Supply,Tug,nan,nan,nan
17,Tug/Pilot/Supply,Tug,nan,nan,nan
18,Tug/Pilot/Supply,Tug,nan,nan,nan
19,Tug/Pilot/Supply,Tug,nan,nan,nan
20,Tug/Pilot/Supply,Tug,nan,nan,nan
21,Tug/Pilot/Supply,Tug,nan,nan,nan
22,Tug/Pilot/Supply,Tug,nan,nan,nan
23,Tug/Pilot/Supply,Tug,nan,nan,nan
24,Tug/Pilot/Supply,Tug,nan,nan,nan
25,Tug/Pilot/Supply,Tug,nan,nan,nan
26,Tug/Pilot/Supply,Tug,nan,nan,nan
27,Tug/Pilot/Supply,Tug,nan,nan,nan
28,Tug/Pilot/Supply,Tug,nan,nan,nan
29,Tug/Pilot/Supply,Tug,nan,nan,nan
30,Tug/Pilot/Supply,Tug,nan,nan,nan
31,Tug/Pilot/Supply,Tug,nan,nan,nan
32,Tug/Pilot/Supply,Tug,nan,nan,nan
33,Tug/Pilot/Supply,Tug,nan,nan,nan
34,Tug/Pilot/Supply,Tug,nan,nan,nan
35,Tug/Pilot/Supply,Tug,nan,nan,nan
36,Tug/Pilot/Supply,Tug,nan,nan,nan
37,Tug/Pilot/Supply,Tug,nan,nan,nan
38,Tug/Pilot/Supply,Tug,nan,nan,nan
39,Tug/Pilot/Supply,Tug,nan,nan,nan
40,Tug/Pilot/Supply,Tug,nan,nan,nan
41,Tug/Pilot/Supply,Tug,nan,nan,nan
42,Tug/Pilot/Supply,Tug,nan,nan,nan
43,Tug/Pilot/Supply,Tug,nan,nan,nan
44,Tug/Pilot/Supply,Tug,nan,nan,nan
45,Tug/Pilot/Supply,Tug,nan,nan,nan
46,Tug/Pilot/Supply,Tug,nan,nan,nan
47,Tug/Pilot/Supply,Tug,nan,nan,nan
48,Tug/Pilot/Supply,Tug,nan,nan,nan
49,Tug/Pilot/Supply,Tug,nan,nan,nan
50,Tug/Pilot/Supply,Tug,nan,nan,nan
51,Tug/Pilot/Supply,Tug,nan,nan,nan
52,Tug/Pilot/Supply,Tug,nan,nan,nan
53,Tug/Pilot/Supply,Tug,nan,nan,nan
54,Tug/Pilot/Supply,Tug,nan,nan,nan
55,Tug/Pilot/Supply,Tug,nan,nan,nan
56,Tug/Pilot/Supply,Tug,nan,nan,nan
57,Tug/Pilot/Supply,Tug,nan,nan,nan
58,Tug/Pilot/Supply,Tug,nan,nan,nan
59,Tug/Pilot/Supply,Tug,nan,nan,nan
60,Tug/Pilot/Supply,Tug,nan,nan,nan
61,Tug/Pilot/Supply,Tug,nan,nan,nan
62,Tug/Pilot/Supply,Tug,nan,nan,nan
63,Tug/Pilot/Supply,Tug,nan,nan,nan
64,Tug/Pilot/Supply,Tug,nan,nan,nan
65,Tug/Pilot/Supply,Tug,nan,nan,nan
66,Tug/Pilot/Supply,Tug,nan,nan,nan
67,Tug/Pilot/Supply,Tug,nan,nan,nan
68,Tug/Pilot/Supply,Tug,nan,nan,nan
69,Tug/Pilot/Supply,Tug,nan,nan,nan
70,Tug/Pilot/Supply,Tug,nan,nan,nan
71,Tug/Pilot/Supply,Tug,nan,nan,nan
72,Tug/Pilot/Supply,Tug,nan,nan,nan
73,Tug/Pilot/Supply,Tug,nan,nan,nan
74,Tug/Pilot/Supply,Tug,nan,nan,nan
75,Tug/Pilot/Supply,Tug,nan,nan,nan
76,Tug/Pilot/Supply,Tug,nan,nan,nan
77,Tug/Pilot/Supply,Tug,nan,nan,nan
78,Tug/Pilot/Supply,Tug,nan,nan,nan
79,Tug/Pilot/Supply,Tug,nan,nan,nan
80,Tug/Pilot/Supply,Tug,nan,nan,nan
81,Tug/Pilot/Supply,Tug,nan,nan,nan
82,Tug/Pilot/Supply,Tug,nan,nan,nan
83,Tug/Pilot/Supply,Tug,nan,nan,nan
84,Tug/Pilot/Supply,Tug,nan,nan,nan
85,Tug/Pilot/Supply,Tug,nan,nan,nan
86,Tug/Pilot/Supply,Tug,nan,nan,nan
87,Tug/Pilot/Supply,Tug,nan,nan,nan
88,Tug/Pilot/Supply,Tug,nan,nan,nan
89,Tug/Pilot/Supply,Tug,nan,nan,nan
90,Tug/Pilot/Supply,Tug,nan,nan,nan
91,Tug/Pilot/Supply,Tug,nan,nan,nan
92,Tug/Pilot/Supply,Tug,nan,nan,nan
93,Tug/Pilot/Supply,Tug,nan,nan,nan
94,Tug/Pilot/Supply,Tug,nan,nan,nan
95,Tug/Pilot/Supply,Tug,nan,nan,nan
96,Tug/Pilot/Supply,Tug,nan,nan,nan
97,Tug/Pilot/Supply,Tug,nan,nan,nan
98,Tug/Pilot/Supply,Tug,nan,nan,nan
99,Tug/Pilot/Supply,Tug,nan,nan,nan
100,Tug/Pilot/Supply,Tug,nan,nan,nan
101,Tug/Pilot/Supply,Tug,nan,nan,nan
102,Tug/Pilot/Supply,Tug,nan,nan,nan
103,Tug/Pilot/Supply,Tug,nan,nan,nan
104,Tug/Pilot/Supply,Tug,nan,nan,nan
105,Tug/Pilot/Supply,Tug,nan,nan,nan
106,Tug/Pilot/Supply,Tug,nan,nan,nan
107,Tug/Pilot/Supply,Tug,nan,nan,nan
108,Tug/Pilot/Supply,Tug,nan,nan,nan
109,Tug/Pilot/Supply,Tug,nan,nan,nan
110,Tug/Pilot/Supply,Tug,nan,nan,nan
111,Tug/Pilot/Supply,Tug,nan,nan,nan
112,Tug/Pilot/Supply,Tug,nan,nan,nan
113,Tug/Pilot/Supply,Tug,nan,nan,nan
114,Tug/Pilot/Supply,Tug,nan,nan,nan
115,Tug/Pilot/Supply,Tug,nan,nan,nan
116,Tug/Pilot/Supply,Tug,nan,nan,nan
117,Tug/Pilot/Supply,Tug,nan,nan,nan
118,Tug/Pilot/Supply,Tug,nan,nan,nan
119,Tug/Pilot/Supply,Tug,nan,nan,nan
120,Tug/Pilot/Supply,Tug,nan,nan,nan
121,Tug/Pilot/Supply,Tug,nan,nan,nan
122,Tug/Pilot/Supply,Tug,nan,nan,nan
123,Tug/Pilot/Supply,Tug,nan,nan,nan
124,Tug/Pilot/Supply,Tug,nan,nan,nan
125,Tug/Pilot/Supply,Tug,nan,nan,nan
126,Tug/Pilot/Supply,Tug,nan,nan,nan
127,Tug/Pilot/Supply,Tug,nan,nan,nan
128,Tug/Pilot/Supply,Tug,nan,nan,nan
129,Tug/Pilot/Supply,Tug,nan,nan,nan
