mmsi,start_time,end_time,is_fishing
224089000,2012-03-22T00:41:10Z,2012-04-26T13:22:52Z,0
224089000,2012-04-26T14:44:43Z,2012-04-26T14:55:56Z,1
224089000,2012-04-26T22:52:28Z,2012-04-30T23:16:46Z,0
224089000,2012-05-01T11:43:00Z,2012-05-01T14:45:20Z,1
224089000,2012-05-01T23:34:07Z,2012-05-14T03:03:20Z,0
224089000,2012-05-14T12:04:45Z,2012-05-14T13:29:58Z,1
224089000,2012-05-15T10:06:53Z,2012-05-16T01:53:41Z,0
224089000,2012-05-16T12:17:39Z,2012-05-17T14:19:22Z,1
224089000,2012-05-17T22:14:56Z,2012-05-18T01:16:33Z,0
224089000,2012-05-18T12:28:04Z,2012-05-18T12:55:22Z,1
224089000,2012-05-18T23:34:00Z,2012-05-22T02:06:49Z,0
224089000,2012-05-22T11:02:21Z,2012-05-22T11:16:11Z,1
224089000,2012-05-22T11:58:28Z,2012-05-22T12:10:15Z,0
224089000,2012-05-22T12:20:45Z,2012-05-22T14:16:36Z,1
224089000,2012-05-23T12:18:51Z,2012-05-24T02:38:23Z,0
224089000,2012-05-24T11:14:29Z,2012-05-24T12:17:05Z,1
224089000,2012-05-24T12:53:04Z,2012-05-25T02:52:12Z,0
224089000,2012-05-25T11:34:50Z,2012-05-25T13:34:19Z,1
224089000,2012-05-25T22:40:58Z,2012-05-26T03:08:44Z,0
224089000,2012-05-26T11:20:39Z,2012-05-26T13:45:06Z,1
224089000,2012-05-26T22:26:08Z,2012-05-27T12:21:42Z,0
224089000,2012-05-27T12:36:52Z,2012-05-27T14:00:29Z,1
224089000,2012-05-27T22:10:04Z,2012-05-28T12:43:32Z,0
224089000,2012-05-28T13:25:06Z,2012-05-28T14:18:35Z,1
224089000,2012-05-28T22:33:06Z,2012-06-01T03:11:27Z,0
224089000,2012-06-01T08:28:51Z,2012-06-01T13:52:58Z,1
224089000,2012-06-01T21:42:15Z,2012-06-04T13:44:16Z,0
224089000,2012-06-04T14:27:18Z,2012-06-04T14:43:31Z,1
224089000,2012-06-04T20:33:06Z,2012-06-05T11:23:29Z,0
224089000,2012-06-05T12:30:25Z,2012-06-05T14:57:57Z,1
224089000,2012-06-05T21:13:45Z,2012-06-06T13:10:27Z,0
224089000,2012-06-06T13:20:12Z,2012-06-06T13:33:30Z,1
224089000,2012-06-06T14:55:57Z,2012-06-25T12:25:56Z,0
224089000,2012-06-25T12:31:39Z,2012-06-25T13:01:44Z,1
224089000,2012-06-25T13:53:44Z,2012-07-31T10:07:37Z,0
224089000,2012-07-31T11:18:18Z,2012-07-31T14:32:38Z,1
224089000,2012-07-31T21:42:21Z,2012-08-05T03:42:07Z,0
224089000,2012-08-05T11:36:01Z,2012-08-05T13:59:14Z,1
224089000,2012-08-05T14:04:33Z,2012-08-06T11:32:19Z,0
224089000,2012-08-06T12:45:26Z,2012-08-06T14:34:09Z,1
224089000,2012-08-06T19:27:19Z,2012-08-08T06:14:27Z,0
224089000,2012-08-08T12:04:42Z,2012-08-08T13:21:56Z,1
224089000,2012-08-08T13:22:16Z,2012-08-13T12:22:41Z,0
224089000,2012-08-13T12:23:11Z,2012-08-13T12:34:09Z,1
224089000,2012-08-13T12:59:57Z,2012-08-14T12:11:53Z,0
224089000,2012-08-14T13:24:14Z,2012-08-14T17:30:20Z,1
224089000,2012-08-14T23:00:10Z,2012-08-19T14:43:00Z,0
224089000,2012-08-19T14:49:57Z,2012-08-19T14:55:54Z,1
224089000,2012-08-19T14:56:20Z,2012-08-25T14:33:00Z,0
224089000,2012-08-25T14:51:14Z,2012-08-25T15:05:47Z,1
224089000,2012-08-25T22:36:15Z,2012-08-26T03:07:18Z,0
224089000,2012-08-26T11:23:04Z,2012-08-26T13:45:05Z,1
224089000,2012-08-26T15:14:18Z,2012-08-27T12:57:21Z,0
224089000,2012-08-27T13:25:49Z,2012-08-27T14:06:52Z,1
224089000,2012-08-27T22:35:50Z,2012-08-28T12:16:38Z,0
224089000,2012-08-28T12:21:16Z,2012-08-28T12:44:21Z,1
224089000,2012-08-28T13:38:24Z,2012-08-29T13:35:31Z,0
224089000,2012-08-29T14:19:29Z,2012-08-29T14:34:21Z,1
224089000,2012-08-29T20:58:17Z,2012-09-07T13:54:47Z,0
224089000,2012-09-07T16:52:17Z,2012-09-07T18:40:21Z,1
224089000,2012-09-08T01:46:18Z,2012-09-09T11:23:29Z,0
224089000,2012-09-09T11:57:13Z,2012-09-09T14:26:52Z,1
224089000,2012-09-09T16:52:07Z,2012-09-09T17:04:33Z,0
224089000,2012-09-10T12:29:57Z,2012-09-10T13:03:04Z,1
224089000,2012-09-10T14:27:09Z,2012-09-18T11:47:09Z,0
224089000,2012-09-18T12:53:15Z,2012-09-18T15:20:44Z,1
224089000,2012-09-20T23:31:35Z,2012-09-30T01:32:44Z,0
224089000,2012-09-30T07:55:31Z,2012-09-30T09:47:39Z,1
224089000,2012-09-30T21:21:12Z,2012-10-02T08:11:18Z,0
224089000,2012-10-02T11:33:45Z,2012-10-02T14:25:03Z,1
224089000,2012-10-02T22:37:12Z,2012-10-26T11:50:19Z,0
224089000,2012-10-26T12:42:25Z,2012-10-26T12:57:01Z,1
224089000,2012-10-27T00:47:34Z,2012-10-27T13:27:43Z,0
224089000,2012-10-27T14:38:52Z,2012-10-27T14:52:15Z,1
224089000,2012-10-27T22:02:51Z,2012-11-07T13:04:32Z,0
224089000,2012-11-07T13:48:05Z,2012-11-07T14:44:50Z,1
224089000,2012-11-08T02:24:13Z,2012-11-24T11:34:43Z,0
224089000,2012-11-24T11:36:06Z,2012-11-24T11:58:46Z,1
